season,date,regular,playoffs,home,away,spread_home,home_pts,away_pts,home_margin,home_win,ats_margin_home,covered_home,covered_away,team,opponent,is_home,abs_spread,team_win,opp_win,team_win_pct_before_game,opp_win_pct_before_game,team_recent_win_pct_3,opp_recent_win_pct_3,team_rest,opp_rest,team_pts_for,team_pts_against,team_margin,opp_pts_for,opp_pts_against,opp_margin,team_pts_for_5,team_pts_against_5,team_margin_5,opp_pts_for_5,opp_pts_against_5,opp_margin_5,delta_win_pct,delta_recent_win_pct_3,delta_rest,delta_pts_for_5,delta_margin_5,team_is_b2b,opp_is_b2b,team_is_3in4,opp_is_3in4,is_altitude_home,is_altitude_away,year,split
2018,2017-10-18,True,False,sac,hou,7.0,100.0,105.0,-5.0,0,2.0,1,0,sac,hou,1,7.0,0,1,0.5,1.0,0.5,0.5,1.0,1.0,100.0,105.0,-5.0,105.0,100.0,5.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,-0.5,0.0,0.0,0.0,0.0,1,1,0,0,0,0,2017,train
2018,2017-10-18,True,False,phx,por,2.5,76.0,124.0,-48.0,0,-45.5,0,1,phx,por,1,2.5,0,1,0.5,0.5,0.5,0.5,1.0,1.0,76.0,124.0,-48.0,124.0,76.0,48.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,2017,train
2018,2017-10-19,True,False,lal,lac,6.5,92.0,108.0,-16.0,0,-9.5,0,1,lal,lac,1,6.5,0,1,0.5,0.5,0.5,0.5,1.0,1.0,92.0,108.0,-16.0,108.0,92.0,16.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,2017,train
2018,2017-10-19,True,False,okc,ny,-12.5,105.0,84.0,21.0,1,8.5,1,0,okc,ny,1,12.5,1,0,0.5,0.5,0.5,0.5,1.0,1.0,105.0,84.0,21.0,84.0,105.0,-21.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,2017,train
2018,2017-10-19,True,False,tor,chi,-14.0,117.0,100.0,17.0,1,3.0,1,0,tor,chi,1,14.0,1,0,0.5,0.5,0.5,0.5,1.0,1.0,117.0,100.0,17.0,100.0,117.0,-17.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,2017,train
2018,2017-10-20,True,False,phi,bos,-3.0,92.0,102.0,-10.0,0,-13.0,0,1,phi,bos,1,3.0,0,1,0.5,0.0,0.5,0.5,1.0,3.0,92.0,102.0,-10.0,102.0,92.0,10.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.5,0.0,-2.0,0.0,0.0,1,0,0,0,0,0,2017,train
2018,2017-10-20,True,False,cha,atl,-4.5,109.0,91.0,18.0,1,13.5,1,0,cha,atl,1,4.5,1,0,0.5,1.0,0.5,0.5,1.0,2.0,109.0,91.0,18.0,91.0,109.0,-18.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,-0.5,0.0,-1.0,0.0,0.0,1,0,0,0,0,0,2017,train
2018,2017-10-20,True,False,wsh,det,-6.5,115.0,111.0,4.0,1,-2.5,0,1,wsh,det,1,6.5,1,0,1.0,0.5,0.5,0.5,2.0,1.0,115.0,111.0,4.0,111.0,115.0,-4.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.5,0.0,1.0,0.0,0.0,0,1,0,0,0,0,2017,train
2018,2017-10-20,True,False,mil,cle,-1.0,97.0,116.0,-19.0,0,-20.0,0,1,mil,cle,1,1.0,0,1,0.5,0.5,0.5,0.5,1.0,1.0,97.0,116.0,-19.0,116.0,97.0,19.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,2017,train
2018,2017-10-20,True,False,ind,por,6.0,96.0,114.0,-18.0,0,-12.0,0,1,ind,por,1,6.0,0,1,1.0,1.0,0.5,0.5,2.0,2.0,96.0,114.0,-18.0,114.0,96.0,18.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-20,True,False,bkn,orl,-2.0,126.0,121.0,5.0,1,3.0,1,0,bkn,orl,1,2.0,1,0,0.5,0.5,0.5,0.5,1.0,1.0,126.0,121.0,5.0,121.0,126.0,-5.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,2017,train
2018,2017-10-20,True,False,min,utah,-5.0,100.0,97.0,3.0,1,-2.0,0,1,min,utah,1,5.0,1,0,0.5,0.5,0.5,0.5,1.0,1.0,100.0,97.0,3.0,97.0,100.0,-3.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,2017,train
2018,2017-10-20,True,False,dal,sac,-6.0,88.0,93.0,-5.0,0,-11.0,0,1,dal,sac,1,6.0,0,1,0.0,0.5,0.5,0.5,2.0,1.0,88.0,93.0,-5.0,93.0,88.0,5.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,-0.5,0.0,1.0,0.0,0.0,0,1,0,0,0,0,2017,train
2018,2017-10-20,True,False,no,gs,9.0,120.0,128.0,-8.0,0,1.0,1,0,no,gs,1,9.0,0,1,0.5,0.5,0.5,0.5,1.0,1.0,120.0,128.0,-8.0,128.0,120.0,8.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,2017,train
2018,2017-10-20,True,False,phx,lal,-3.5,130.0,132.0,-2.0,0,-5.5,0,1,phx,lal,1,3.5,0,1,0.0,0.5,0.5,0.5,2.0,1.0,130.0,132.0,-2.0,132.0,130.0,2.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,-0.5,0.0,1.0,0.0,0.0,0,1,0,0,0,0,2017,train
2018,2017-10-21,True,False,utah,okc,4.0,96.0,87.0,9.0,1,13.0,1,0,utah,okc,1,4.0,1,0,1.0,0.5,0.5,0.5,3.0,1.0,96.0,87.0,9.0,87.0,96.0,-9.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.5,0.0,2.0,0.0,0.0,0,1,0,0,0,0,2017,train
2018,2017-10-21,True,False,den,sac,-12.5,96.0,79.0,17.0,1,4.5,1,0,den,sac,1,12.5,1,0,0.5,1.0,0.5,0.5,1.0,1.0,96.0,79.0,17.0,79.0,96.0,-17.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,-0.5,0.0,0.0,0.0,0.0,1,1,0,0,1,0,2017,train
2018,2017-10-21,True,False,mem,gs,8.5,111.0,101.0,10.0,1,18.5,1,0,mem,gs,1,8.5,1,0,1.0,1.0,0.5,0.5,3.0,1.0,111.0,101.0,10.0,101.0,111.0,-10.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,2.0,0.0,0.0,0,1,0,0,0,0,2017,train
2018,2017-10-21,True,False,mia,ind,-9.5,112.0,108.0,4.0,1,-5.5,0,1,mia,ind,1,9.5,1,0,0.5,0.5,0.5,0.5,1.0,1.0,112.0,108.0,4.0,108.0,112.0,-4.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,2017,train
2018,2017-10-21,True,False,lac,phx,-13.5,130.0,88.0,42.0,1,28.5,1,0,lac,phx,1,13.5,1,0,0.5,0.5,0.5,0.5,1.0,1.0,130.0,88.0,42.0,88.0,130.0,-42.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,2017,train
2018,2017-10-21,True,False,hou,dal,-11.5,107.0,91.0,16.0,1,4.5,1,0,hou,dal,1,11.5,1,0,0.5,0.5,0.5,0.5,1.0,1.0,107.0,91.0,16.0,91.0,107.0,-16.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,2017,train
2018,2017-10-21,True,False,cle,orl,-11.5,93.0,114.0,-21.0,0,-32.5,0,1,cle,orl,1,11.5,0,1,1.0,0.0,0.5,0.5,4.0,1.0,93.0,114.0,-21.0,114.0,93.0,21.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,1.0,0.0,3.0,0.0,0.0,0,1,0,0,0,0,2017,train
2018,2017-10-21,True,False,tor,phi,-8.5,128.0,94.0,34.0,1,25.5,1,0,tor,phi,1,8.5,1,0,1.0,0.0,0.5,0.5,2.0,3.0,128.0,94.0,34.0,94.0,128.0,-34.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,1.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-21,True,False,ny,det,1.0,107.0,111.0,-4.0,0,-3.0,0,1,ny,det,1,1.0,0,1,0.5,0.0,0.5,0.5,1.0,1.0,107.0,111.0,-4.0,111.0,107.0,4.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.5,0.0,0.0,0.0,0.0,1,1,0,0,0,0,2017,train
2018,2017-10-22,True,False,bkn,atl,-1.0,116.0,104.0,12.0,1,11.0,1,0,bkn,atl,1,1.0,1,0,1.0,0.5,0.5,0.5,2.0,2.0,116.0,104.0,12.0,104.0,116.0,-12.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.5,0.0,0.0,0.0,0.0,0,0,0,1,0,0,2017,train
2018,2017-10-22,True,False,okc,min,-4.0,113.0,115.0,-2.0,0,-6.0,0,1,okc,min,1,4.0,0,1,1.0,0.0,0.5,0.5,3.0,4.0,113.0,115.0,-2.0,115.0,113.0,2.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,1.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-22,True,False,lal,no,5.5,112.0,119.0,-7.0,0,-1.5,0,1,lal,no,1,5.5,0,1,0.0,0.0,0.5,0.5,3.0,4.0,112.0,119.0,-7.0,119.0,112.0,7.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-23,True,False,phx,sac,2.5,117.0,115.0,2.0,1,4.5,1,0,phx,sac,1,2.5,1,0,0.0,0.5,0.5,0.5,3.0,2.0,117.0,115.0,2.0,115.0,117.0,-2.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,-0.5,0.0,1.0,0.0,0.0,0,0,0,1,0,0,2017,train
2018,2017-10-23,True,False,den,wsh,-5.0,104.0,109.0,-5.0,0,-10.0,0,1,den,wsh,1,5.0,0,1,1.0,0.5,0.5,0.5,2.0,1.0,104.0,109.0,-5.0,109.0,104.0,5.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.5,0.0,1.0,0.0,0.0,0,1,0,0,1,0,2017,train
2018,2017-10-23,True,False,sa,tor,-2.5,101.0,97.0,4.0,1,1.5,1,0,sa,tor,1,2.5,1,0,1.0,0.5,0.5,0.5,5.0,1.0,101.0,97.0,4.0,97.0,101.0,-4.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.5,0.0,4.0,0.0,0.0,0,1,0,0,0,0,2017,train
2018,2017-10-23,True,False,dal,gs,13.5,103.0,133.0,-30.0,0,-16.5,0,1,dal,gs,1,13.5,0,1,0.0,0.5,0.5,0.5,3.0,2.0,103.0,133.0,-30.0,133.0,103.0,30.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,-0.5,0.0,1.0,0.0,0.0,0,0,0,1,0,0,2017,train
2018,2017-10-23,True,False,mia,atl,-10.5,104.0,93.0,11.0,1,0.5,1,0,mia,atl,1,10.5,1,0,1.0,0.3333333333333333,0.5,0.3333333333333333,2.0,1.0,104.0,93.0,11.0,93.0,104.0,-11.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.6666666666666667,0.1666666666666666,1.0,0.0,0.0,0,1,0,1,0,0,2017,train
2018,2017-10-23,True,False,hou,mem,-8.0,90.0,98.0,-8.0,0,-16.0,0,1,hou,mem,1,8.0,0,1,1.0,0.5,0.5,0.5,2.0,1.0,90.0,98.0,-8.0,98.0,90.0,8.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.5,0.0,1.0,0.0,0.0,0,1,0,0,0,0,2017,train
2018,2017-10-23,True,False,det,phi,-3.0,86.0,97.0,-11.0,0,-14.0,0,1,det,phi,1,3.0,0,1,1.0,0.0,0.5,0.5,5.0,2.0,86.0,97.0,-11.0,97.0,86.0,11.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,1.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-23,True,False,mil,cha,-6.5,103.0,94.0,9.0,1,2.5,1,0,mil,cha,1,6.5,1,0,0.0,0.0,0.5,0.5,3.0,5.0,103.0,94.0,9.0,94.0,103.0,-9.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,-2.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-24,True,False,lac,utah,-5.0,102.0,84.0,18.0,1,13.0,1,0,lac,utah,1,5.0,1,0,1.0,0.0,0.5,0.5,3.0,4.0,102.0,84.0,18.0,84.0,102.0,-18.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,1.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-24,True,False,min,ind,-10.5,107.0,130.0,-23.0,0,-33.5,0,1,min,ind,1,10.5,0,1,1.0,0.0,0.5,0.5,4.0,3.0,107.0,130.0,-23.0,130.0,107.0,23.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-24,True,False,por,no,-5.0,103.0,93.0,10.0,1,5.0,1,0,por,no,1,5.0,1,0,0.5,0.5,0.5,0.5,1.0,2.0,103.0,93.0,10.0,93.0,103.0,-10.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,-1.0,0.0,0.0,1,0,0,0,0,0,2017,train
2018,2017-10-24,True,False,cle,chi,-15.0,119.0,112.0,7.0,1,-8.0,0,1,cle,chi,1,15.0,1,0,0.5,0.0,0.5,0.5,3.0,5.0,119.0,112.0,7.0,112.0,119.0,-7.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.5,0.0,-2.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-24,True,False,orl,bkn,-5.0,125.0,121.0,4.0,1,-1.0,0,1,orl,bkn,1,5.0,1,0,1.0,0.0,0.5,0.5,6.0,6.0,125.0,121.0,4.0,121.0,125.0,-4.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-24,True,False,bos,ny,-7.0,110.0,89.0,21.0,1,14.0,1,0,bos,ny,1,7.0,1,0,0.0,0.0,0.5,0.5,6.0,5.0,110.0,89.0,21.0,89.0,110.0,-21.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-25,True,False,gs,tor,-12.0,117.0,112.0,5.0,1,-7.0,0,1,gs,tor,1,12.0,1,0,0.0,0.0,0.5,0.5,8.0,2.0,117.0,112.0,5.0,112.0,117.0,-5.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,6.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-25,True,False,lal,wsh,5.5,102.0,99.0,3.0,1,8.5,1,0,lal,wsh,1,5.5,1,0,0.0,1.0,0.5,0.5,3.0,2.0,102.0,99.0,3.0,99.0,102.0,-3.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,-1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-25,True,False,dal,mem,3.0,103.0,94.0,9.0,1,12.0,1,0,dal,mem,1,3.0,1,0,0.0,1.0,0.0,0.5,2.0,2.0,103.0,94.0,9.0,94.0,103.0,-9.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,-1.0,-0.5,0.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-25,True,False,okc,ind,-13.5,114.0,96.0,18.0,1,4.5,1,0,okc,ind,1,13.5,1,0,0.5,0.5,0.5,0.5,3.0,1.0,114.0,96.0,18.0,96.0,114.0,-18.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,2.0,0.0,0.0,0,1,0,1,0,0,2017,train
2018,2017-10-25,True,False,phx,utah,7.5,97.0,88.0,9.0,1,16.5,1,0,phx,utah,1,7.5,1,0,0.3333333333333333,0.0,0.3333333333333333,0.5,2.0,1.0,97.0,88.0,9.0,88.0,97.0,-9.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.3333333333333333,-0.1666666666666666,1.0,0.0,0.0,0,1,0,0,0,0,2017,train
2018,2017-10-25,True,False,bkn,cle,8.0,112.0,107.0,5.0,1,13.0,1,0,bkn,cle,1,8.0,1,0,1.0,1.0,0.5,0.5,3.0,5.0,112.0,107.0,5.0,107.0,112.0,-5.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,-2.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-25,True,False,cha,den,2.5,110.0,93.0,17.0,1,19.5,1,0,cha,den,1,2.5,1,0,1.0,0.0,0.5,0.5,5.0,7.0,110.0,93.0,17.0,93.0,110.0,-17.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,1.0,0.0,-2.0,0.0,0.0,0,0,0,0,0,1,2017,train
2018,2017-10-25,True,False,phi,hou,3.0,104.0,105.0,-1.0,0,2.0,1,0,phi,hou,1,3.0,0,1,0.0,1.0,0.5,0.5,5.0,7.0,104.0,105.0,-1.0,105.0,104.0,1.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,-1.0,0.0,-2.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-25,True,False,det,min,-2.5,122.0,101.0,21.0,1,18.5,1,0,det,min,1,2.5,1,0,0.5,0.5,0.5,0.5,2.0,3.0,122.0,101.0,21.0,101.0,122.0,-21.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-25,True,False,mia,sa,3.0,100.0,117.0,-17.0,0,-14.0,0,1,mia,sa,1,3.0,0,1,1.0,0.5,0.5,0.5,2.0,1.0,100.0,117.0,-17.0,117.0,100.0,17.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.5,0.0,1.0,0.0,0.0,0,1,1,0,0,0,2017,train
2018,2017-10-26,True,False,mem,dal,-8.0,96.0,91.0,5.0,1,-3.0,0,1,mem,dal,1,8.0,1,0,1.0,0.0,0.5,0.5,5.0,5.0,96.0,91.0,5.0,91.0,96.0,-5.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-26,True,False,mil,bos,-4.5,89.0,96.0,-7.0,0,-11.5,0,1,mil,bos,1,4.5,0,1,0.5,0.5,0.5,0.5,3.0,6.0,89.0,96.0,-7.0,96.0,89.0,7.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,-3.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-26,True,False,chi,atl,-2.0,91.0,86.0,5.0,1,3.0,1,0,chi,atl,1,2.0,1,0,0.5,0.25,0.5,0.0,1.0,3.0,91.0,86.0,5.0,86.0,91.0,-5.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.25,0.5,-2.0,0.0,0.0,1,0,0,1,0,0,2017,train
2018,2017-10-26,True,False,por,lac,-2.5,103.0,104.0,-1.0,0,-3.5,0,1,por,lac,1,2.5,0,1,1.0,1.0,0.5,0.5,2.0,7.0,103.0,104.0,-1.0,104.0,103.0,1.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,-5.0,0.0,0.0,0,0,0,0,0,0,2017,train
2018,2017-10-26,True,False,sac,no,-1.0,106.0,114.0,-8.0,0,-9.0,0,1,sac,no,1,1.0,0,1,0.0,0.3333333333333333,0.5,0.3333333333333333,8.0,2.0,106.0,114.0,-8.0,114.0,106.0,8.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,-0.3333333333333333,0.1666666666666666,6.0,0.0,0.0,0,0,0,1,0,0,2017,train
