season,date,regular,playoffs,home,away,spread_home,home_pts,away_pts,home_margin,home_win,ats_margin_home,covered_home,covered_away,team,opponent,is_home,abs_spread,team_win,opp_win,team_win_pct_before_game,opp_win_pct_before_game,team_recent_win_pct_3,opp_recent_win_pct_3,team_rest,opp_rest,team_pts_for,team_pts_against,team_margin,opp_pts_for,opp_pts_against,opp_margin,team_pts_for_5,team_pts_against_5,team_margin_5,opp_pts_for_5,opp_pts_against_5,opp_margin_5,delta_win_pct,delta_recent_win_pct_3,delta_rest,delta_pts_for_5,delta_margin_5
2018,2017-10-19,True,False,lal,lac,6.5,92.0,108.0,-16.0,0,-9.5,0,1,lal,lac,1,6.5,0,1,0.5,0.5,0.5,0.5,1.0,1.0,92.0,108.0,-16.0,108.0,92.0,16.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0
2018,2017-10-19,True,False,okc,ny,-12.5,105.0,84.0,21.0,1,8.5,1,0,okc,ny,1,12.5,1,0,0.5,0.5,0.5,0.5,1.0,1.0,105.0,84.0,21.0,84.0,105.0,-21.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0
2018,2017-10-19,True,False,tor,chi,-14.0,117.0,100.0,17.0,1,3.0,1,0,tor,chi,1,14.0,1,0,0.5,0.5,0.5,0.5,1.0,1.0,117.0,100.0,17.0,100.0,117.0,-17.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0
2018,2017-10-20,True,False,phi,bos,-3.0,92.0,102.0,-10.0,0,-13.0,0,1,phi,bos,1,3.0,0,1,0.5,0.0,0.5,0.5,1.0,3.0,92.0,102.0,-10.0,102.0,92.0,10.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.5,0.0,-2.0,0.0,0.0
2018,2017-10-20,True,False,cha,atl,-4.5,109.0,91.0,18.0,1,13.5,1,0,cha,atl,1,4.5,1,0,0.5,1.0,0.5,0.5,1.0,2.0,109.0,91.0,18.0,91.0,109.0,-18.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,-0.5,0.0,-1.0,0.0,0.0
2018,2017-10-20,True,False,wsh,det,-6.5,115.0,111.0,4.0,1,-2.5,0,1,wsh,det,1,6.5,1,0,1.0,0.5,0.5,0.5,2.0,1.0,115.0,111.0,4.0,111.0,115.0,-4.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.5,0.0,1.0,0.0,0.0
2018,2017-10-20,True,False,mil,cle,-1.0,97.0,116.0,-19.0,0,-20.0,0,1,mil,cle,1,1.0,0,1,0.5,0.5,0.5,0.5,1.0,1.0,97.0,116.0,-19.0,116.0,97.0,19.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0
2018,2017-10-20,True,False,ind,por,6.0,96.0,114.0,-18.0,0,-12.0,0,1,ind,por,1,6.0,0,1,1.0,1.0,0.5,0.5,2.0,2.0,96.0,114.0,-18.0,114.0,96.0,18.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0
2018,2017-10-20,True,False,bkn,orl,-2.0,126.0,121.0,5.0,1,3.0,1,0,bkn,orl,1,2.0,1,0,0.5,0.5,0.5,0.5,1.0,1.0,126.0,121.0,5.0,121.0,126.0,-5.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0
2018,2017-10-20,True,False,min,utah,-5.0,100.0,97.0,3.0,1,-2.0,0,1,min,utah,1,5.0,1,0,0.5,0.5,0.5,0.5,1.0,1.0,100.0,97.0,3.0,97.0,100.0,-3.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0
2018,2017-10-20,True,False,dal,sac,-6.0,88.0,93.0,-5.0,0,-11.0,0,1,dal,sac,1,6.0,0,1,0.0,0.5,0.5,0.5,2.0,1.0,88.0,93.0,-5.0,93.0,88.0,5.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,-0.5,0.0,1.0,0.0,0.0
2018,2017-10-20,True,False,no,gs,9.0,120.0,128.0,-8.0,0,1.0,1,0,no,gs,1,9.0,0,1,0.5,0.5,0.5,0.5,1.0,1.0,120.0,128.0,-8.0,128.0,120.0,8.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,0.0,0.0,0.0,0.0,0.0
2018,2017-10-20,True,False,phx,lal,-3.5,130.0,132.0,-2.0,0,-5.5,0,1,phx,lal,1,3.5,0,1,0.0,0.5,0.5,0.5,2.0,1.0,130.0,132.0,-2.0,132.0,130.0,2.0,112.86642522368982,110.84842351938646,2.018001704303366,112.86642522368982,110.84842351938646,2.018001704303366,-0.5,0.0,1.0,0.0,0.0
