season,date,regular,playoffs,home,away,whos_favored,spread,home_code_clean,away_code_clean,home_abbr,away_abbr,GAME_ID,GAME_DATE,SEASON_LABEL,SEASON_TYPE,home_team_abbr,home_pts_x,home_reb,home_ast,home_fgm,home_fga_x,home_fg3m_x,home_fg3a_x,home_ftm,home_fta_x,home_tov_x,home_stl,home_blk,home_plus_minus,away_team_abbr,away_pts_x,away_reb,away_ast,away_fgm,away_fga_x,away_fg3m_x,away_fg3a_x,away_ftm,away_fta_x,away_tov_x,away_stl,away_blk,away_plus_minus,home_margin,home_pts_y,home_fga_y,home_fta_y,home_oreb,home_tov_y,home_fg3m_y,home_fg3a_y,away_pts_y,away_fga_y,away_fta_y,away_oreb,away_tov_y,away_fg3m_y,away_fg3a_y,score_home,score_away,spread_home,margin_home,home_win,away_win,ats_margin_home,ats_push,ats_home_cover,covered_home
2018,2017-10-18,True,False,phx,por,away,2.5,phx,por,PHX,POR,21700012.0,2017-10-18,2018.0,Regular Season,PHX,76.0,33.0,10.0,28.0,89.0,7.0,27.0,13.0,18.0,16.0,9.0,8.0,-48.0,POR,124.0,57.0,22.0,44.0,90.0,14.0,24.0,22.0,28.0,18.0,8.0,7.0,48.0,-48.0,,,,,,,,,,,,,,,76.0,124.0,2.5,-48.0,0,1,-45.5,0,0,0
2018,2017-10-19,True,False,okc,ny,home,-12.5,okc,ny,OKC,NYK,21700015.0,2017-10-19,2018.0,Regular Season,OKC,105.0,41.0,26.0,39.0,90.0,11.0,38.0,16.0,22.0,20.0,14.0,7.0,21.0,NYK,84.0,41.0,19.0,32.0,79.0,7.0,24.0,13.0,19.0,26.0,8.0,4.0,-21.0,21.0,,,,,,,,,,,,,,,105.0,84.0,-12.5,21.0,1,0,8.5,0,1,1
2018,2017-10-19,True,False,lal,lac,away,6.5,lal,lac,LAL,LAC,21700016.0,2017-10-19,2018.0,Regular Season,LAL,92.0,52.0,21.0,37.0,91.0,4.0,16.0,14.0,23.0,20.0,8.0,7.0,-16.0,LAC,108.0,59.0,23.0,42.0,107.0,12.0,33.0,12.0,13.0,15.0,12.0,3.0,16.0,-16.0,,,,,,,,,,,,,,,92.0,108.0,6.5,-16.0,0,1,-9.5,0,0,0
2018,2017-10-19,True,False,tor,chi,home,-14.0,tor,chi,TOR,CHI,21700014.0,2017-10-19,2018.0,Regular Season,TOR,117.0,49.0,26.0,39.0,83.0,13.0,29.0,26.0,28.0,17.0,10.0,4.0,17.0,CHI,100.0,39.0,22.0,37.0,89.0,10.0,32.0,16.0,18.0,19.0,7.0,2.0,-17.0,17.0,,,,,,,,,,,,,,,117.0,100.0,-14.0,17.0,1,0,3.0,0,1,1
2018,2017-10-20,True,False,phi,bos,home,-3.0,phi,bos,PHI,BOS,21700019.0,2017-10-20,2018.0,Regular Season,PHI,92.0,47.0,20.0,35.0,92.0,10.0,32.0,12.0,16.0,17.0,7.0,4.0,-10.0,BOS,102.0,55.0,16.0,35.0,84.0,10.0,29.0,22.0,32.0,19.0,4.0,5.0,10.0,-10.0,,,,,,,,,,,,,,,92.0,102.0,-3.0,-10.0,0,1,-13.0,0,0,0
2018,2017-10-20,True,False,cha,atl,home,-4.5,cha,atl,CHA,ATL,21700017.0,2017-10-20,2018.0,Regular Season,CHA,109.0,57.0,17.0,37.0,86.0,11.0,36.0,24.0,30.0,21.0,5.0,4.0,18.0,ATL,91.0,38.0,19.0,36.0,95.0,7.0,30.0,12.0,14.0,13.0,11.0,4.0,-18.0,18.0,,,,,,,,,,,,,,,109.0,91.0,-4.5,18.0,1,0,13.5,0,1,1
2018,2017-10-20,True,False,wsh,det,home,-6.5,wsh,det,WAS,DET,21700020.0,2017-10-20,2018.0,Regular Season,WAS,115.0,37.0,25.0,40.0,75.0,6.0,17.0,29.0,35.0,17.0,12.0,7.0,4.0,DET,111.0,33.0,19.0,43.0,87.0,10.0,23.0,15.0,20.0,19.0,12.0,1.0,-4.0,4.0,,,,,,,,,,,,,,,115.0,111.0,-6.5,4.0,1,0,-2.5,0,0,0
2018,2017-10-20,True,False,mil,cle,home,-1.0,mil,cle,MIL,CLE,21700021.0,2017-10-20,2018.0,Regular Season,MIL,97.0,30.0,23.0,38.0,82.0,11.0,35.0,10.0,12.0,15.0,9.0,2.0,-19.0,CLE,116.0,44.0,25.0,44.0,81.0,11.0,26.0,17.0,17.0,18.0,8.0,3.0,19.0,-19.0,,,,,,,,,,,,,,,97.0,116.0,-1.0,-19.0,0,1,-20.0,0,0,0
2018,2017-10-20,True,False,ind,por,away,6.0,ind,por,IND,POR,21700018.0,2017-10-20,2018.0,Regular Season,IND,96.0,39.0,15.0,35.0,78.0,4.0,18.0,22.0,33.0,12.0,1.0,4.0,-18.0,POR,114.0,51.0,19.0,46.0,95.0,9.0,19.0,13.0,17.0,9.0,5.0,6.0,18.0,-18.0,,,,,,,,,,,,,,,96.0,114.0,6.0,-18.0,0,1,-12.0,0,0,0
2018,2017-10-20,True,False,bkn,orl,home,-2.0,bkn,orl,BKN,ORL,21700022.0,2017-10-20,2018.0,Regular Season,BKN,126.0,48.0,22.0,46.0,92.0,9.0,27.0,25.0,35.0,18.0,13.0,6.0,5.0,ORL,121.0,40.0,30.0,45.0,89.0,18.0,33.0,13.0,15.0,22.0,9.0,3.0,-5.0,5.0,,,,,,,,,,,,,,,126.0,121.0,-2.0,5.0,1,0,3.0,0,1,1
2018,2017-10-20,True,False,min,utah,home,-5.0,min,utah,MIN,UTA,21700023.0,2017-10-20,2018.0,Regular Season,MIN,100.0,44.0,17.0,36.0,81.0,7.0,22.0,21.0,26.0,16.0,11.0,2.0,3.0,UTA,97.0,38.0,23.0,37.0,77.0,9.0,22.0,14.0,17.0,19.0,10.0,8.0,-3.0,3.0,,,,,,,,,,,,,,,100.0,97.0,-5.0,3.0,1,0,-2.0,0,0,0
2018,2017-10-20,True,False,dal,sac,home,-6.0,dal,sac,DAL,SAC,21700024.0,2017-10-20,2018.0,Regular Season,DAL,88.0,36.0,19.0,31.0,75.0,11.0,33.0,15.0,21.0,12.0,8.0,7.0,-5.0,SAC,93.0,57.0,20.0,37.0,87.0,10.0,23.0,9.0,13.0,15.0,8.0,3.0,5.0,-5.0,,,,,,,,,,,,,,,88.0,93.0,-6.0,-5.0,0,1,-11.0,0,0,0
